Datum,Energietraeger,Produktion_GWh
2014-04-26,Speicherkraft,32.8
2014-04-26,Thermische,10.1
2014-04-27,Flusskraft,65.5
2014-04-27,Kernkraft,79.2
2014-04-27,Speicherkraft,21.9
2014-04-27,Thermische,10.1
2014-04-28,Flusskraft,59.0
2014-04-28,Kernkraft,79.4
2014-04-28,Speicherkraft,57.6
2014-04-28,Thermische,10.1
2014-04-29,Flusskraft,53.5
2014-04-29,Kernkraft,79.4
2014-04-29,Speicherkraft,58.4
2014-04-29,Thermische,10.1
2014-04-30,Flusskraft,52.2
2014-04-30,Kernkraft,79.5
2014-04-30,Speicherkraft,45.3
2014-04-30,Thermische,10.1
2014-05-01,Flusskraft,47.3
2014-05-01,Kernkraft,79.4
2014-05-01,Speicherkraft,30.6
2014-05-01,Thermische,9.7
2014-05-02,Flusskraft,54.0
2014-05-02,Kernkraft,79.3
2014-05-02,Speicherkraft,39.4
2014-05-02,Thermische,9.7
2014-05-03,Flusskraft,59.8
2014-05-03,Kernkraft,79.4
2014-05-03,Speicherkraft,26.5
2014-05-03,Thermische,9.7
2014-05-04,Flusskraft,51.8
2014-05-04,Kernkraft,79.5
2014-05-04,Speicherkraft,29.5
2014-05-04,Thermische,9.7
2014-05-05,Flusskraft,49.5
2014-05-05,Kernkraft,79.5
2014-05-05,Speicherkraft,54.8
2014-05-05,Thermische,9.7
2014-05-06,Flusskraft,50.7
2014-05-06,Kernkraft,79.2
2014-05-06,Speicherkraft,53.9
2014-05-06,Thermische,9.7
2014-05-07,Flusskraft,54.6
2014-05-07,Kernkraft,79.1
2014-05-07,Speicherkraft,64.7
2014-05-07,Thermische,9.7
2014-05-08,Flusskraft,53.3
2014-05-08,Kernkraft,79.2
2014-05-08,Speicherkraft,48.4
2014-05-08,Thermische,9.7
2014-05-09,Flusskraft,53.9
2014-05-09,Kernkraft,78.9
2014-05-09,Speicherkraft,47.4
2014-05-09,Thermische,9.7
2014-05-10,Flusskraft,56.2
2014-05-10,Kernkraft,78.8
2014-05-10,Speicherkraft,34.1
2014-05-10,Thermische,9.7
2014-05-11,Flusskraft,59.2
2014-05-11,Kernkraft,79.1
2014-05-11,Speicherkraft,29.7
2014-05-11,Thermische,9.7
2014-05-12,Flusskraft,57.1
2014-05-12,Kernkraft,79.4
2014-05-12,Speicherkraft,60.9
2014-05-12,Thermische,9.7
2014-05-13,Flusskraft,52.6
2014-05-13,Kernkraft,79.4
2014-05-13,Speicherkraft,68.6
2014-05-13,Thermische,9.7
2014-05-14,Flusskraft,51.3
2014-05-14,Kernkraft,79.5
2014-05-14,Speicherkraft,60.0
2014-05-14,Thermische,9.7
2014-05-15,Flusskraft,49.3
2014-05-15,Kernkraft,79.0
2014-05-15,Speicherkraft,73.5
2014-05-15,Thermische,9.7
2014-05-16,Flusskraft,45.8
2014-05-16,Kernkraft,79.4
2014-05-16,Speicherkraft,55.4
2014-05-16,Thermische,9.7
2014-05-17,Flusskraft,41.7
2014-05-17,Kernkraft,79.3
2014-05-17,Speicherkraft,38.9
2014-05-17,Thermische,9.7
2014-05-18,Flusskraft,41.8
2014-05-18,Kernkraft,79.3
2014-05-18,Speicherkraft,35.0
2014-05-18,Thermische,9.7
2014-05-19,Flusskraft,46.6
2014-05-19,Kernkraft,78.9
2014-05-19,Speicherkraft,72.4
2014-05-19,Thermische,9.7
2014-05-20,Flusskraft,48.7
2014-05-20,Kernkraft,78.9
2014-05-20,Speicherkraft,72.2
2014-05-20,Thermische,9.7
2014-05-21,Flusskraft,52.6
2014-05-21,Kernkraft,78.5
2014-05-21,Speicherkraft,74.6
2014-05-21,Thermische,9.7
2014-05-22,Flusskraft,71.7
2014-05-22,Kernkraft,78.4
2014-05-22,Speicherkraft,46.8
2014-05-22,Thermische,9.7
2014-05-23,Flusskraft,92.6
2014-05-23,Kernkraft,78.8
2014-05-23,Speicherkraft,46.0
2014-05-23,Thermische,9.7
2014-05-24,Flusskraft,81.6
2014-05-24,Kernkraft,79.2
2014-05-24,Speicherkraft,43.1
2014-05-24,Thermische,9.7
2014-05-25,Flusskraft,67.4
2014-05-25,Kernkraft,78.9
2014-05-25,Speicherkraft,43.7
2014-05-25,Thermische,9.7
2014-05-26,Flusskraft,66.7
2014-05-26,Kernkraft,78.9
2014-05-26,Speicherkraft,77.6
2014-05-26,Thermische,9.7
2014-05-27,Flusskraft,71.0
2014-05-27,Kernkraft,79.1
2014-05-27,Speicherkraft,78.6
2014-05-27,Thermische,9.7
2014-05-28,Flusskraft,68.5
2014-05-28,Kernkraft,79.1
2014-05-28,Speicherkraft,77.4
2014-05-28,Thermische,9.7
2014-05-29,Flusskraft,60.9
2014-05-29,Kernkraft,79.0
2014-05-29,Speicherkraft,42.0
2014-05-29,Thermische,9.7
2014-05-30,Flusskraft,60.1
2014-05-30,Kernkraft,79.0
2014-05-30,Speicherkraft,53.7
2014-05-30,Thermische,9.7
2014-05-31,Flusskraft,56.7
2014-05-31,Kernkraft,77.5
2014-05-31,Speicherkraft,38.6
2014-05-31,Thermische,9.7
2014-06-01,Flusskraft,54.4
2014-06-01,Kernkraft,79.1
2014-06-01,Speicherkraft,43.7
2014-06-01,Thermische,9.5
2014-06-02,Flusskraft,55.6
2014-06-02,Kernkraft,79.0
2014-06-02,Speicherkraft,67.6
2014-06-02,Thermische,9.5
2014-06-03,Flusskraft,59.6
2014-06-03,Kernkraft,78.9
2014-06-03,Speicherkraft,84.2
2014-06-03,Thermische,9.5
2014-06-04,Flusskraft,61.6
2014-06-04,Kernkraft,73.6
2014-06-04,Speicherkraft,73.7
2014-06-04,Thermische,9.5
2014-06-05,Flusskraft,60.3
2014-06-05,Kernkraft,71.6
2014-06-05,Speicherkraft,59.5
2014-06-05,Thermische,9.5
2014-06-06,Flusskraft,57.6
2014-06-06,Kernkraft,78.6
2014-06-06,Speicherkraft,59.1
2014-06-06,Thermische,9.5
2014-06-07,Flusskraft,60.9
2014-06-07,Kernkraft,77.8
2014-06-07,Speicherkraft,57.4
2014-06-07,Thermische,9.5
